link,Owner,Extension,Level,DateCreated,DateAccessed,DateWritten,TotalByteSize,DirectByteSize,DirectFileCount,CharacterLength,pathString,parentName,ID,parentID,TotalFileCount,bg_clr,ico,ext,fileType,bgclr,i.ico,i.fileType,Name,Type,DateWrittenIndexDate,DateCreatedIndexDate,DateAccessedIndexDate,filter
"<a href=""file:C:/ML-For-Beginners-main/.gitignore"">NA </a>",ECNCR/Kedidaz,gitignore,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,6089,,,34,C:\ML-For-Beginners-main\,C:\ML-For-Beginners-main,197,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",gitignore,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,"",File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/.nojekyll"">NA </a>",ECNCR/Kedidaz,nojekyll,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,0,,,33,C:\ML-For-Beginners-main\,C:\ML-For-Beginners-main,198,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",nojekyll,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,"",File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/CODE_OF_CONDUCT.md"">NA CODE_OF_CONDUCT</a>",ECNCR/Kedidaz,md,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,444,,,42,C:\ML-For-Beginners-main\CODE_OF_CONDUCT,C:\ML-For-Beginners-main,199,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,CODE_OF_CONDUCT,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/CONTRIBUTING.md"">NA CONTRIBUTING</a>",ECNCR/Kedidaz,md,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1154,,,39,C:\ML-For-Beginners-main\CONTRIBUTING,C:\ML-For-Beginners-main,200,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,CONTRIBUTING,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/docsifytopdf.js""><i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i> docsifytopdf</a>",ECNCR/Kedidaz,js,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,583,,,39,C:\ML-For-Beginners-main\docsifytopdf,C:\ML-For-Beginners-main,201,1,1,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",js,code,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",code,docsifytopdf,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/for-teachers.md"">NA for-teachers</a>",ECNCR/Kedidaz,md,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1820,,,39,C:\ML-For-Beginners-main\for-teachers,C:\ML-For-Beginners-main,202,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,for-teachers,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/index.html""><i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i> index</a>",ECNCR/Kedidaz,html,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,875,,,34,C:\ML-For-Beginners-main\index,C:\ML-For-Beginners-main,203,1,1,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",html,code,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",code,index,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/NA."">NA </a>",ECNCR/Kedidaz,"",1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1141,,,31,C:\ML-For-Beginners-main\NA,C:\ML-For-Beginners-main,204,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>","",,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,"",File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/ml-for-beginners.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> ml-for-beginners</a>",ECNCR/Kedidaz,png,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,189049,,,44,C:\ML-For-Beginners-main\ml-for-beginners,C:\ML-For-Beginners-main,205,1,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,ml-for-beginners,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/ml.gif""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> ml</a>",ECNCR/Kedidaz,gif,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,363930,,,30,C:\ML-For-Beginners-main\ml,C:\ML-For-Beginners-main,206,1,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",gif,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,ml,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
