ext,fileIcon,bg_clr,fileType
"zip,gz,rar,7z,cab,iso",file-archive,#d7ccc8,archive
mp3,file-audio,#d1c4e9,audio
"xlsx,xlsm,xlsb,xls",file-excel,#c8e6c9,excel
pdf,file-pdf,#ffcdd2,pdf
"jpg,gif,png,tiff,tif,jpeg,jpe,bmp",file-picture,#d1c4e9,picture
"ppt,pptx,pptm",file-powerpoint,#ffccbc,slide
"txt,log",file-text,#c8e6c9,text
"mp4,wmv,flv",file-video,#d1c4e9,video
"docx,doc,rtf,pp7m,docm,",file-word,#b3e5fc,word
"msg,p7m",envelope,#ffecb3,email
"lnk,url",external-link-square-alt,#bbdefb,link
"db,accdb",database,#c8e6c9,db
csv,file-csv,#c8e6c9,csv
"htm,html,js,pas,css,dll,sbx,sbn,dat",file-code,#f0f4c3,code
"R,py",scroll,#c8e6c9,code
"dbf,ent,shp, shx, prj",map-marked-alt,#c8e6c9,map
exe,rocket,#c8e6c9,program
vhd,hdd,#c8e6c9,drive
"json,rda",cube,#c8e6c9,data
